Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/22/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703911,,,,,
Andorra,AND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022871402,1070429537,1157666822,1247831302,1317944270,1325090207,1368868424,1407724771,1428319833,1428913250,1460474059,1458539388,1476719523,1502859169,1529680510,1565191061,1616111762,1705759462,1792656380,1879188446,1950247955,1999901281,2018484671,1997664169,2045272407,2101670671,2199392934,2398826714,2475464141,2576935425,2606977005,2765136580,2942847626,3296693262,3562720067,3842026792,4018195654,4021331428,3675727911,3535389133,3346317329,3185604582,3129537612,3127549908,,
Afghanistan,AFG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20294152243
Angola,AGO,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745,28072847844,30290602825,31986876577,32114824090,32018479612,31634257860,29451494067,22176975036,22953169160,25340298757,28178412209,30404506777,32473461136,33525536222,34535350910,35993076036,33494990432,35252638226,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,100886000000,103911000000
Albania,ALB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066397,5754747683,5924431989,5989893305,5914924002,6020247739,6359623745,6309519917,6219922230,6831747928,6177564328,4349684962,4036507645,4424012380,4791205407,5428435726,5922423377,5280559675,5756277509,6533442516,6969002335,7522364217,7840663356,8293343316,8766856445,9268392517,9771760095,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12793314323,13120823169
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,504081000000,569088000000,618308000000,630119000000,696828000000,767025000000,797530000000,772723000000,751191000000,764002000000,759937000000,763501000000,768118000000,797139000000,816492000000,904527000000,893742000000,939314000000,977341000000,1010940000000,1040520000000,1091070000000,1144100000000,1204540000000,1241260000000,1304960000000,1333690000000,1353670000000,1410980000000,1548400000000,1643640000000,1763820000000,1863480000000,1980980000000,2011000000000,2103820000000,2173900000000,2318270000000,2385580000000,2436660000000,2509070000000
United Arab Emirates,ARE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56055910246,65320190085,79324401300,78063457999,94397122680,116934000000,122382000000,114159000000,108741000000,113109000000,109044000000,92732830340,95869037705,93358316076,104877000000,124099000000,125166000000,129353000000,130984000000,140017000000,149381000000,158043000000,170987000000,171486000000,176463000000,195614000000,198351000000,203178000000,221059000000,242206000000,253966000000,278949000000,287832000000,297019000000,281446000000,286049000000,300946000000,321692000000,335594000000,350931000000,362100000000
Argentina,ARG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.21E+11,127224000000,126140000000,119444000000,131544000000,145448000000,144488000000,149100000000,156291000000,171419000000,176640000000,186634000000,189673000000,195006000000,205798000000,205739000000,201587000000,215565000000,205852000000,226895000000,236315000000,222870000000,211822000000,220030000000,224897000000,207835000000,224203000000,230728000000,224828000000,207975000000,202985000000,228703000000,256012000000,271135000000,286958000000,278794000000,294202000000,318065000000,330311000000,319128000000,316610000000,302652000000,269679000000,293511000000,320014000000,349450000000,378814000000,408989000000,421565000000,421776000000,461640000000,500355000000,504367000000,518920000000,521274000000,
Armenia,ARM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11112364757,11445735700
American Samoa,ASM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,306603782,319432464,342890214,372361848,387568059,388216472,406378750,446015372,481653391,542916939,587779116,619647322,655418839,672099917,685786802,691603563,728881698,775002577,742632124,792682271,831411470,868057377,903835269,949404558,919078280,945954440,1001894699,1054859062,1119028549,1268714285,1389228751,1390216646,1222889961,1135539037,1115173876,1159998756,1155982145,1211723377,1256122384
Australia,AUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.98E+11,203250000000,205949000000,218743000000,234003000000,247996000000,253862000000,269848000000,283590000000,303583000000,325340000000,338384000000,351617000000,360755000000,375534000000,380560000000,390415000000,404498000000,408127000000,424667000000,437626000000,452322000000,467345000000,456920000000,478062000000,503158000000,523795000000,537280000000,568276000000,590318000000,611151000000,608830000000,611259000000,636077000000,661761000000,687431000000,714579000000,742786000000,775752000000,814595000000,846109000000,862434000000,895695000000,923200000000,961507000000,992339000000,1021940000000,1060340000000,1099640000000,1119650000000,1142250000000,1169430000000,1211910000000,1241480000000,1272520000000,1301250000000
Austria,AUT,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,92237791418,97345901229,99924277888,104059000000,110432000000,114276000000,120724000000,124355000000,129917000000,138070000000,145728000000,153182000000,162691000000,170647000000,177375000000,176729000000,184821000000,194210000000,193801000000,204182000000,207717000000,207418000000,211589000000,217880000000,217992000000,223439000000,228581000000,231683000000,239319000000,248622000000,259426000000,268354000000,273972000000,275416000000,282031000000,289556000000,296500000000,303038000000,313826000000,325093000000,336043000000,340582000000,346221000000,348839000000,358278000000,365947000000,378210000000,391907000000,397970000000,382851000000,390235000000,401193000000,404231000000,405530000000,406963000000,410472000000
Azerbaijan,AZE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675015,22169395298,17159111874,13195357108,10595871755,9345558793,9467051076,10016140088,11017754125,11833067994,13146538453,14448045760,15979538495,17769246844,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680,59025316810
Burundi,BDI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,596608253.7,514597677,561236478,584445893,621108405,645749177,675537540,768907087,766616638,755427553,916527546,941702988,881396659,942116521,935268846,941796276,1016599962,1133198417,1122539825,1141229607,1152539828,1292726424,1279106260,1326629241,1328692733,1485254992,1533528459,1617920004,1699317954,1722250288,1782525984,1871595893,1890498980,1772531844,1704643875,1569636080,1444065193,1421104557,1488607023,1473572092,1460945583,1490979806,1557276512,1538219684,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060,2343732768
Belgium,BEL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.21E+11,126566000000,133163000000,138957000000,148624000000,153916000000,158774000000,164915000000,171832000000,183224000000,194139000000,201877000000,212568000000,226133000000,236457000000,231808000000,244912000000,246445000000,253449000000,259382000000,270910000000,270153000000,271760000000,272608000000,279331000000,283945000000,289121000000,295790000000,309761000000,320507000000,330562000000,336622000000,341774000000,338487000000,349410000000,357742000000,363442000000,376928000000,384374000000,398069000000,412534000000,415882000000,423286000000,426565000000,442069000000,451327000000,462608000000,478325000000,481899000000,470888000000,483577000000,492267000000,493048000000,493063000000,499450000000,506312000000
Benin,BEN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1265426253,1305176841,1260456133,1320076061,1407871140,1482401907,1535410564,1551968411,1611600246,1657974011,1692754286,1667416432,1774570741,1840339266,1901793939,1808694556,1824689861,1915626267,1939668872,2066440730,2206581861,2426230120,2480457973,2372612057,2560756387,2753589661,2813373992,2771173299,2865538547,2783751478,3033624751,3161819648,3255337130,3445324207,3514933553,3727418268,3888602421,4111601652,4274462693,4502780954,4766643562,5020725248,5253911327,5434858389,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7509969971,8026580503,8551638195,8999782271
Burkina Faso,BFA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1120811787,1166136608,1237606774,1221913718,1249807799,1296857381,1303829456,1418870435,1462440739,1492070973,1493816989,1514929700,1549947281,1556911619,1685923956,1736474411,1884680679,1891660661,1978825073,2051341523,2067688230,2155674637,2361804485,2369975968,2327821284,2526090319,2727049967,2720604944,2878280133,2940170849,2922443722,3187508913,3194926589,3305515297,3348983063,3540423456,3930392032,4178668401,4484033772,4816039657,4903703229,5228004716,5455579987,5881248337,6144638535,6676878621,7094394431,7495582799,8042347948,8280563450,8979966766,9565619495,10182857809,10554461357,10981684425,11418705176
Bangladesh,BGD,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,17862545311,18944687033,19977746684,19886669278,22064814113,22419232005,22994691543,22563342421,24704480424,25006087027,26411392182,24964184430,21475757025,22189972024,24318424444,23324235189,24644704391,25303471152,27093397642,28394323598,28626913391,30697768187,31352959199,32569782093,34134209698,35274979988,36747139851,38133389635,39054790277,40162611478,42420657180,43899113723,46288404443,48469311189,50354828680,52933639391,55327785139,57811945427,60804885377,63644568604,67013463193,70415929567,73115059421,76580396942,80592852042,85860356478,91588846354,98053769823,103951000000,109195000000,115279000000,122731000000,130735000000,138597000000,146997000000,156630000000
Bulgaria,BGR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,28189215378,29570532557,30260876066,31298916678,32361966766,33230380939,34628583119,36725175443,40744632801,39404182483,35811554555,32787141532,30402733451,29952707662,30497251252,31369530391,31871442873,31520857046,32624086977,30793875728,32336941248,33710622716,35739369162,37554043590,40015923920,42911553405,45809428049,49325462299,52110873832,49911937187,49939168133,50730191553,50850459591,51502304048,52300589760,53852419115
